0.0	0.0
640.110255118	-4.55853638961
656.226995747	-4.67620135328
1183.98438934	-11.6279835752
1222.06197192	-12.1456839203
1925.32383789	-27.2095592437
1972.88019748	-28.2533781815
2532.76507091	-44.0298359199
2600.41870863	-45.9871039001
3198.02224764	-67.2494164245
3279.67737071	-70.2288274249
3816.33869543	-93.0145636304
3916.47738205	-97.3778465081
4468.47065192	-124.819390837
4592.37687185	-131.150014329
5157.71609627	-163.590131015
5305.34035193	-172.303514478
5854.12569952	-208.045642548
6023.06077337	-219.365811983
6591.64074095	-261.062440426
6780.72714726	-275.326805088
7313.72495747	-318.695854666
7616.32544714	-344.336619509
8415.59038622	-419.169283694
9252.24899116	-505.290756795
11417.6284327	-780.349700399
12216.5503286	-888.934433549
14280.2966753	-1216.81026392
15140.3554528	-1361.68079753
18148.4305266	-1969.03718068
18866.3540307	-2115.62315496
22048.5375273	-2765.54931152
22603.9115927	-2880.30878103
26245.5091768	-3625.31728803
26595.4995573	-3696.15015489
30375.6788745	-4447.37408788
30514.7089108	-4474.62321116
34626.825539	-5165.75592984
34718.3409362	-5180.45062693
38767.3780409	-5821.33706647
39094.7798341	-5870.8056348
42812.5258247	-6401.48129234
43377.6167874	-6476.70294018
47076.4570962	-6933.28037915
47911.9518132	-7025.9296875
51290.9960455	-7355.8081306
52411.78151	-7444.16969549
55666.2070653	-7645.82822895
57062.0908164	-7716.67053261
60057.4021019	-7836.08049802
61739.8174344	-7881.59953521
64025.7183747	-7915.04328084
65955.3569296	-7918.78976093
68443.732735	-7890.63941489
70682.0869549	-7857.65898452
72784.4222302	-7825.40015709
75364.3053202	-7746.44796908
77342.1598422	-7647.17366539
80266.6373053	-7495.39508947
81809.8917648	-7418.78677444
85106.1958308	-7186.25568897
86517.8663117	-7057.17816853
90257.0483068	-6704.86669757
91282.9420528	-6604.08865021
95238.0671593	-6230.11485703
95793.2965975	-6181.12810135
100116.882587	-5765.21826977
100497.404819	-5724.65834837
105038.643962	-5167.24035371
105143.343515	-5153.56497382
109715.156678	-4530.21638098
109988.597502	-4489.59012054
114393.931048	-3777.2763185
114998.677387	-3683.00133813
118832.531234	-3101.56602136
120098.411307	-2900.54836046
123608.234833	-2322.51988209
124906.202957	-2099.30253773
128269.877726	-1496.64878659
130098.758923	-1146.14997407
133121.069699	-526.239143486
135155.458485	-92.3805217649
137816.830534	488.411163394
140367.428206	1058.96062128
142619.606947	1581.18433409
145329.313309	2226.29453158
147378.582265	2722.79326213
150442.475068	3486.26000437
151962.784819	3875.62500351
155521.286388	4792.63947497
156675.230707	5093.31745676
160421.321554	6085.01550478
161212.579324	6298.77171654
165455.503357	7499.41003889
165882.256802	7624.73154611
170324.009981	8936.0607894
170547.736962	9002.46320624
174787.46248	10310.706622
175387.008773	10497.4801931
179467.824971	11787.2528094
180447.153592	12103.1911807
183987.890654	13267.3531653
185011.875377	13608.659332
188644.510177	14830.1902674
190048.48769	15310.6211758
193138.854487	16388.0895137
194912.109278	17021.4236423
197764.678071	18067.6833359
199909.73091	18873.0813503
202325.466762	19798.1928589
204651.240846	20698.7164119
206635.962465	21478.8428255
209439.094638	22581.8798945
211020.548528	23208.0744324
214174.324876	24473.8750983
215194.100845	24882.4428176
218630.920576	26242.0154336
219397.431234	26543.1016589
